service_id,date,exception_type
1#52,20250727,1
1#52,20250803,1
1#52,20250810,1
1#52,20250815,1
1#52,20250817,1
1#47,20250721,1
1#47,20250722,1
1#47,20250723,1
1#47,20250724,1
1#47,20250725,1
1#47,20250728,1
1#47,20250729,1
1#47,20250730,1
1#47,20250731,1
1#47,20250801,1
1#47,20250804,1
1#47,20250805,1
1#47,20250806,1
1#47,20250807,1
1#47,20250808,1
1#44,20250726,1
1#44,20250802,1
1#44,20250809,1
1#44,20250816,1
0#47-5024,20250715,1
0#47-5024,20250716,1
0#47-5024,20250717,1
0#47-5024,20250718,1
0#47-5025,20250715,1
0#47-5025,20250716,1
0#47-5025,20250717,1
0#47-5025,20250718,1
0#47-5026,20250715,1
0#47-5026,20250716,1
0#47-5026,20250717,1
0#47-5026,20250718,1
0#47-5027,20250715,1
0#47-5027,20250716,1
0#47-5027,20250717,1
0#47-5027,20250718,1
0#47-5028,20250715,1
0#47-5028,20250716,1
0#47-5028,20250717,1
0#47-5028,20250718,1
0#47-5029,20250715,1
0#47-5029,20250716,1
0#47-5029,20250717,1
0#47-5029,20250718,1
0#47-5030,20250715,1
0#47-5030,20250716,1
0#47-5030,20250717,1
0#47-5030,20250718,1
0#47-5031,20250715,1
0#47-5031,20250716,1
0#47-5031,20250717,1
0#47-5031,20250718,1
0#47-5032,20250715,1
0#47-5032,20250716,1
0#47-5032,20250717,1
0#47-5032,20250718,1
0#47-5033,20250715,1
0#47-5033,20250716,1
0#47-5033,20250717,1
0#47-5033,20250718,1
0#47-5034,20250715,1
0#47-5034,20250716,1
0#47-5034,20250717,1
0#47-5034,20250718,1
0#47-5035,20250715,1
0#47-5035,20250716,1
0#47-5035,20250717,1
0#47-5035,20250718,1
0#44-5036,20250719,1
0#44-5037,20250719,1
0#44-5038,20250719,1
0#44-5039,20250719,1
0#54-5040,20250720,1
0#54-5041,20250720,1
0#54-5042,20250720,1
