service_id,date,exception_type
1#50,20250726,1
1#51,20250721,1
1#51,20250722,1
1#51,20250723,1
1#51,20250724,1
1#51,20250725,1
1#51,20250728,1
1#51,20250729,1
1#51,20250730,1
1#51,20250731,1
1#49,20250727,1
0#52-4357,20250715,1
0#52-4357,20250716,1
0#52-4357,20250717,1
0#52-4357,20250718,1
0#52-4358,20250715,1
0#52-4358,20250716,1
0#52-4358,20250717,1
0#52-4358,20250718,1
0#52-4359,20250715,1
0#52-4359,20250716,1
0#52-4359,20250717,1
0#52-4359,20250718,1
0#52-4360,20250715,1
0#52-4360,20250716,1
0#52-4360,20250717,1
0#52-4360,20250718,1
0#52-4361,20250715,1
0#52-4361,20250716,1
0#52-4361,20250717,1
0#52-4361,20250718,1
0#52-4362,20250715,1
0#52-4362,20250716,1
0#52-4362,20250717,1
0#52-4362,20250718,1
0#52-4363,20250715,1
0#52-4363,20250716,1
0#52-4363,20250717,1
0#52-4363,20250718,1
0#52-4364,20250715,1
0#52-4364,20250716,1
0#52-4364,20250717,1
0#52-4364,20250718,1
0#52-4365,20250715,1
0#52-4365,20250716,1
0#52-4365,20250717,1
0#52-4365,20250718,1
0#51-4715,20250719,1
0#51-4716,20250719,1
0#51-4717,20250719,1
0#51-4718,20250719,1
0#51-4719,20250719,1
0#51-4720,20250719,1
0#51-4721,20250719,1
0#49-4923,20250720,1
0#49-4924,20250720,1
0#49-4925,20250720,1
0#49-4926,20250720,1
0#49-4927,20250720,1
