shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
57813,41.930693,12.464337,1,0
57813,41.930622,12.464515,2,16.5769
57813,41.930668,12.464567,3,23.2142
57813,41.930723,12.464625,4,30.9049
57813,41.930770,12.464672,5,37.2892
57813,41.930812,12.464722,6,43.422
57813,41.930862,12.464773,7,50.3449
57813,41.930908,12.464827,8,57.0699
57813,41.930958,12.464878,9,63.9927
57813,41.931005,12.464928,10,70.5439
57813,41.931057,12.464983,11,77.7788
57813,41.931102,12.464927,12,84.5498
57813,41.931160,12.464913,13,91.0367
57813,41.931208,12.464888,14,96.7163
57813,41.931243,12.464858,15,101.271
57813,41.931530,12.464525,16,142.887
57813,41.932175,12.463777,17,236.434
57813,41.932837,12.464617,18,336.374
57813,41.932965,12.464640,19,350.57
57813,41.933015,12.464710,20,358.499
57813,41.933353,12.465177,21,411.739
57813,41.933332,12.465273,22,420
57813,41.933605,12.465535,23,456.406
57813,41.933818,12.465862,24,491.518
57813,41.933908,12.466030,25,508.268
57813,41.933923,12.466130,26,516.521
57813,41.934088,12.466480,27,550.009
57813,41.934197,12.466690,28,570.66
57813,41.934257,12.466817,29,582.796
57813,41.934300,12.466922,30,592.503
57813,41.934268,12.466913,31,596
57813,41.934357,12.467067,32,611.763
57813,41.934380,12.467137,33,618.002
57813,41.934323,12.467223,34,627.378
57813,41.934293,12.467257,35,631.627
57813,41.934238,12.467300,36,638.583
57813,41.934193,12.467332,37,644.124
57813,41.934110,12.467393,38,654.502
57813,41.934003,12.467387,39,666.142
57813,41.933522,12.467407,40,718.67
57813,41.933287,12.467403,41,744.288
57813,41.932912,12.467388,42,785.182
57813,41.932828,12.467385,43,794.27
57813,41.932760,12.467387,44,801.72
57813,41.932718,12.467392,45,806.28
57813,41.932638,12.467417,46,815.234
57813,41.932403,12.467507,47,841.877
57813,41.931988,12.467673,48,889.103
57813,41.931830,12.467730,49,906.968
57813,41.931772,12.467753,50,913.604
57813,41.931417,12.467895,51,953.982
57813,41.931270,12.467823,52,971
57813,41.930352,12.468322,53,1080.64
57813,41.930155,12.468402,54,1103.38
57813,41.930037,12.468438,55,1116.82
57813,41.929985,12.468457,56,1122.73
57813,41.929928,12.468475,57,1129.18
57813,41.929878,12.468487,58,1134.8
57813,41.929777,12.468483,59,1146.05
57813,41.929507,12.468508,60,1176
57813,41.929265,12.468693,61,1206.63
57813,41.928890,12.468842,62,1249.65
57813,41.928553,12.468988,63,1288.61
57813,41.928505,12.469012,64,1294.26
57813,41.928228,12.469128,65,1326.18
57813,41.927982,12.469225,66,1354.46
57813,41.927795,12.469225,67,1375
57813,41.926750,12.469717,68,1497.57
57813,41.925707,12.470160,69,1618.69
57813,41.925227,12.470353,70,1674.16
57813,41.924993,12.470365,71,1700
57813,41.924437,12.470677,72,1766.81
57813,41.924185,12.470778,73,1795.91
57813,41.924038,12.470828,74,1812.67
57813,41.923683,12.470962,75,1853.5
57813,41.923562,12.471008,76,1867.51
57813,41.923315,12.471107,77,1896.01
57813,41.923270,12.471170,78,1903.24
57813,41.922922,12.471217,79,1942
57813,41.922655,12.471407,80,1974.89
57813,41.922097,12.471635,81,2038.47
57813,41.921520,12.471872,82,2104.15
57813,41.921142,12.472033,83,2147.39
57813,41.921033,12.471950,84,2161
57813,41.921013,12.472087,85,2172.32
57813,41.920920,12.472130,86,2183.07
57813,41.920800,12.472178,87,2196.71
57813,41.920515,12.472295,88,2229.14
57813,41.920227,12.472412,89,2261.92
57813,41.919103,12.472865,90,2389.6
57813,41.918952,12.472918,91,2406.67
57813,41.918842,12.472950,92,2418.91
57813,41.918732,12.472990,93,2431.32
57813,41.918343,12.473063,94,2474
57813,41.918240,12.473202,95,2490.09
57813,41.917407,12.473542,96,2586.03
57813,41.916553,12.473883,97,2684.12
57813,41.916187,12.474037,98,2726.42
57813,41.915448,12.474272,99,2810
57813,41.915165,12.474475,100,2845.61
57813,41.915120,12.474323,101,2859.12
57813,41.914972,12.473718,102,2911.81
57813,41.914962,12.473668,103,2916.09
57813,41.914947,12.473627,104,2919.92
57813,41.914790,12.473693,105,2938.13
57813,41.914250,12.473912,106,3000.62
57813,41.913828,12.474085,107,3049.49
57813,41.913692,12.474140,108,3065.3
57813,41.913473,12.474237,109,3090.78
57813,41.912727,12.474523,110,3176.83
57813,41.912328,12.474680,111,3222.82
57813,41.912020,12.474805,112,3258.51
57813,41.911960,12.474865,113,3266.81
57813,41.911725,12.474963,114,3294.09
57813,41.911768,12.475208,115,3314.92
57813,41.911803,12.475367,116,3328.59
57813,41.911867,12.475645,117,3352.66
57813,41.911838,12.475738,118,3361
57813,41.911910,12.475837,119,3372.38
57813,41.911855,12.475913,120,3381.18
57813,41.911833,12.475970,121,3386.45
57813,41.911820,12.476042,122,3392.56
57813,41.911823,12.476213,123,3406.78
57813,41.911825,12.476235,124,3408.58
57813,41.911837,12.476315,125,3415.33
57813,41.911872,12.476420,126,3424.85
57813,41.912080,12.476835,127,3466.25
57813,41.913237,12.479227,128,3702.15
57813,41.913725,12.480250,129,3802.69
57813,41.913745,12.480442,130,3818.71
57813,41.913738,12.480567,131,3829.09
57813,41.913752,12.480785,132,3847.22
57813,41.913540,12.481810,133,3935.27
57813,41.913408,12.482338,134,3981.38
57813,41.913288,12.482815,135,4023.03
57813,41.913243,12.482960,136,4036.03
57813,41.913163,12.483158,137,4054.69
57813,41.913117,12.483272,138,4065.4
57813,41.912548,12.484463,139,4182.46
57813,41.912478,12.484622,140,4197.7
57813,41.912467,12.484613,141,4199.16
57813,41.912448,12.484603,142,4201.36
57813,41.912425,12.484598,143,4203.98
57813,41.912392,12.484603,144,4207.69
57813,41.912377,12.484618,145,4209.77
57813,41.912360,12.484642,146,4212.44
57813,41.912342,12.484693,147,4217.18
57813,41.912340,12.484742,148,4221.18
57813,41.912355,12.484792,149,4225.65
57813,41.912373,12.484817,150,4228.55
57813,41.912387,12.484828,151,4230.31
57813,41.912425,12.484840,152,4234.67
57813,41.912462,12.484832,153,4238.79
57813,41.912498,12.484797,154,4243.78
57813,41.912513,12.484762,155,4247.12
57813,41.912515,12.484745,156,4248.52
