route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,exceptional
2BUS,1#50,1#1139-2,"MANCINI","19393308",0,"",57813,0,0
2BUS,1#50,1#1139-3,"MANCINI","19393309",0,"",57813,0,0
2BUS,1#50,1#1139-4,"MANCINI","19393294",0,"",57813,0,0
2BUS,1#50,1#1139-5,"MANCINI","19393295",0,"",57813,0,0
2BUS,1#50,1#1139-6,"MANCINI","19393296",0,"",57813,0,0
2BUS,1#50,1#1139-7,"MANCINI","19393284",0,"",57813,0,0
2BUS,1#50,1#1139-8,"MANCINI","19393285",0,"",57813,0,0
2BUS,1#50,1#1139-9,"MANCINI","19393286",0,"",57813,0,0
2BUS,1#50,1#1139-10,"MANCINI","19393299",0,"",57813,0,0
2BUS,1#50,1#1139-11,"MANCINI","19393300",0,"",57813,0,0
2BUS,1#50,1#1139-12,"MANCINI","19393301",0,"",57813,0,0
2BUS,1#50,1#1139-13,"MANCINI","19393302",0,"",57813,0,0
2BUS,1#50,1#1139-14,"MANCINI","19393303",0,"",57813,0,0
2BUS,1#50,1#1139-15,"MANCINI","19393304",0,"",57813,0,0
2BUS,1#50,1#1139-16,"MANCINI","19393305",0,"",57813,0,0
2BUS,1#50,1#1139-17,"MANCINI","19393306",0,"",57813,0,0
2BUS,1#50,1#1139-18,"MANCINI","19393307",0,"",57813,0,0
2BUS,1#50,1#1139-19,"MANCINI","19393287",0,"",57813,0,0
2BUS,1#50,1#1139-20,"MANCINI","19393288",0,"",57813,0,0
2BUS,1#50,1#1139-21,"MANCINI","19393289",0,"",57813,0,0
2BUS,1#50,1#1139-22,"MANCINI","19393290",0,"",57813,0,0
2BUS,1#50,1#1139-23,"MANCINI","19393291",0,"",57813,0,0
2BUS,1#50,1#1139-24,"MANCINI","19393292",0,"",57813,0,0
2BUS,1#50,1#1139-25,"MANCINI","19393293",0,"",57813,0,0
2BUS,1#50,1#1139-26,"MANCINI","19393297",0,"",57813,0,0
2BUS,1#50,1#1139-27,"MANCINI","19393298",0,"",57813,0,0
2BUS,1#51,1#1140-2,"MANCINI","18256414",0,"",57813,0,0
2BUS,1#51,1#1140-3,"MANCINI","18256415",0,"",57813,0,0
2BUS,1#51,1#1140-4,"MANCINI","18256417",0,"",57813,0,0
2BUS,1#51,1#1140-5,"MANCINI","18256413",0,"",57813,0,0
2BUS,1#51,1#1140-6,"MANCINI","18256400",0,"",57813,0,0
