service_id,date,exception_type
1#12,20250726,1
1#12,20250802,1
1#12,20250804,1
1#12,20250805,1
1#12,20250806,1
1#12,20250807,1
1#12,20250808,1
1#12,20250809,1
1#12,20250811,1
1#12,20250812,1
1#12,20250813,1
1#12,20250814,1
1#12,20250816,1
1#12,20250818,1
1#12,20250819,1
1#12,20250820,1
1#20,20250721,1
1#20,20250722,1
1#20,20250723,1
1#20,20250724,1
1#20,20250725,1
1#20,20250728,1
1#20,20250729,1
1#20,20250730,1
1#20,20250731,1
1#20,20250801,1
1#1,20250727,1
1#1,20250803,1
1#1,20250810,1
1#1,20250815,1
1#1,20250817,1
0#20-5184,20250715,1
0#20-5184,20250716,1
0#20-5184,20250717,1
0#20-5185,20250715,1
0#20-5185,20250716,1
0#20-5185,20250717,1
0#20-5186,20250715,1
0#20-5186,20250716,1
0#20-5186,20250717,1
0#20-5187,20250715,1
0#20-5187,20250716,1
0#20-5187,20250717,1
0#20-5188,20250718,1
0#20-5189,20250718,1
0#20-5190,20250718,1
0#20-5191,20250718,1
0#12-5192,20250719,1
0#12-5193,20250719,1
0#12-5194,20250719,1
0#12-5195,20250719,1
0#1-5196,20250720,1
0#1-5197,20250720,1
0#1-5198,20250720,1
0#1-5199,20250720,1
