route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,exceptional
80,1#15,1#3250-2,"P.ZA VENEZIA","22917331",0,"",64147,0,0
80,1#15,1#3250-3,"PORTA DI ROMA","22917332",1,"",55581,0,0
80,1#15,1#3250-4,"P.ZA VENEZIA","22917322",0,"",64147,0,0
80,1#15,1#3250-5,"PORTA DI ROMA","22917323",1,"",55581,0,0
80,1#15,1#3250-6,"P.ZA VENEZIA","22917324",0,"",64147,0,0
80,1#15,1#3250-7,"PORTA DI ROMA","22917325",1,"",55581,0,0
80,1#15,1#3250-8,"P.ZA VENEZIA","22917326",0,"",64147,0,0
80,1#15,1#3250-9,"PORTA DI ROMA","22917327",1,"",55581,0,0
80,1#15,1#3250-10,"P.ZA VENEZIA","22917328",0,"",64147,0,0
80,1#15,1#3250-11,"PORTA DI ROMA","22917329",1,"",55581,0,0
80,1#15,1#3250-12,"P.ZA VENEZIA","22917330",0,"",64147,0,0
80,1#15,1#3250-13,"PORTA DI ROMA","22917333",1,"",55581,0,0
80,1#15,1#3250-14,"P.ZA VENEZIA","22917334",0,"",64147,0,0
80,1#15,1#3250-15,"PORTA DI ROMA","22917335",1,"",55581,0,0
80,1#15,1#3250-16,"P.ZA VENEZIA","22917336",0,"",64147,0,0
80,1#15,1#3250-17,"PORTA DI ROMA","22917320",1,"",55581,0,0
80,1#15,1#3250-18,"P.ZA VENEZIA","22917321",0,"",64147,0,0
80,1#20,1#3251-2,"P.ZA VENEZIA","24836664",0,"",64147,0,0
80,1#20,1#3251-3,"PORTA DI ROMA","24836665",1,"",55581,0,0
80,1#20,1#3251-4,"P.ZA VENEZIA","24836670",0,"",64147,0,0
80,1#20,1#3251-5,"PORTA DI ROMA","24836672",1,"",55581,0,0
80,1#20,1#3251-6,"P.ZA VENEZIA","24836677",0,"",64147,0,0
80,1#20,1#3251-7,"PORTA DI ROMA","24836671",1,"",55581,0,0
80,1#20,1#3251-8,"P.ZA VENEZIA","24836673",0,"",64147,0,0
80,1#20,1#3251-9,"PORTA DI ROMA","24836674",1,"",55581,0,0
80,1#20,1#3251-10,"P.ZA VENEZIA","24836675",0,"",64147,0,0
80,1#20,1#3251-11,"PORTA DI ROMA","24836676",1,"",55581,0,0
