shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
65319,41.902185,12.499268,1,0
65319,41.902240,12.499133,2,12.6466
65319,41.902262,12.499115,3,15.4685
65319,41.902295,12.499107,4,19.2015
65319,41.902312,12.499108,5,21.0415
65319,41.902347,12.499133,6,25.4089
65319,41.902437,12.499285,7,41.3387
65319,41.902527,12.499437,8,57.2685
65319,41.902530,12.499438,9,57.6602
65319,41.902643,12.499537,10,72.5288
65319,41.902658,12.499552,11,74.59
65319,41.902682,12.499593,12,78.8727
65319,41.902902,12.499975,13,118.52
65319,41.903008,12.500155,14,137.415
65319,41.903110,12.500330,15,155.647
65319,41.903433,12.500885,16,213.531
65319,41.903450,12.500918,17,216.829
65319,41.903465,12.500902,18,218.975
65319,41.903488,12.500875,19,222.353
65319,41.904200,12.500047,20,326.175
65319,41.904570,12.499572,21,382.613
65319,41.904833,12.499250,22,421.859
65319,41.905055,12.498983,23,454.668
65319,41.905133,12.498883,24,466.585
65319,41.905175,12.498918,25,472
65319,41.905355,12.498593,26,505.503
65319,41.905508,12.498805,27,529.919
65319,41.905663,12.499038,28,555.776
65319,41.905847,12.499293,29,585.084
65319,41.905987,12.499498,30,608.084
65319,41.906307,12.499958,31,660.135
65319,41.906352,12.500033,32,668.101
65319,41.906740,12.500610,33,732.393
65319,41.907267,12.501378,34,818.744
65319,41.907825,12.500705,35,902.048
65319,41.908388,12.500013,36,986.783
65319,41.908893,12.500743,37,1069.17
65319,41.908910,12.501040,38,1093.81
65319,41.908920,12.501122,39,1100.66
65319,41.909225,12.501537,40,1148.87
65319,41.909253,12.501580,41,1153.64
65319,41.909283,12.501618,42,1158.23
65319,41.909317,12.501668,43,1163.78
65319,41.909350,12.501712,44,1168.93
65319,41.909393,12.501767,45,1175.55
65319,41.909427,12.501807,46,1180.51
65319,41.909467,12.501857,47,1186.58
65319,41.909527,12.501983,48,1199
65319,41.909578,12.501960,49,1205.03
65319,41.909595,12.501973,50,1207.18
65319,41.909657,12.502013,51,1214.76
65319,41.909998,12.502525,52,1271.46
65319,41.910148,12.502777,53,1298.06
65319,41.910772,12.503630,54,1396.66
65319,41.910847,12.503648,55,1405.1
65319,41.910898,12.503733,56,1414.15
65319,41.910935,12.503792,57,1420.45
65319,41.911025,12.503908,58,1434.3
65319,41.911093,12.504003,59,1445.2
65319,41.911172,12.504128,60,1458.68
65319,41.912588,12.506382,61,1702
65319,41.912833,12.506653,62,1737.28
65319,41.912907,12.506762,63,1749.39
65319,41.914155,12.508573,64,1953.56
65319,41.914267,12.508737,65,1971.9
65319,41.915202,12.510118,66,2126.33
65319,41.915892,12.511112,67,2238.69
65319,41.916203,12.511575,68,2290.34
65319,41.916647,12.512195,69,2361.43
65319,41.916717,12.512282,70,2372.01
65319,41.917223,12.513002,71,2453.94
65319,41.917415,12.513280,72,2485.3
65319,41.917782,12.513832,73,2546.46
65319,41.918225,12.514555,74,2623.97
