stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,wheelchair_boarding,stop_timezone,location_type,parent_station
AP1,AP1,"Anagnina",,41.842997,12.585897,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
AP2,AP2,"Cinecitta'",,41.849686,12.574180,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
AP3,AP3,"Subaugusta",,41.853716,12.568163,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
AP4,AP4,"Giulio Agricola",,41.856738,12.562781,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
AP5,AP5,"Lucio Sestio",,41.859816,12.557253,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
AP6,AP6,"Numidio Quadrato",,41.862151,12.552730,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
AP7,AP7,"Porta Furba - Quadraro",,41.863923,12.548173,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
AP8,AP8,"Arco Di Travertino",,41.866088,12.536031,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
AP9,AP9,"Colli Albani",,41.869831,12.529521,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
AP10,AP10,"Furio Camillo",,41.874778,12.523074,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
AP11,AP11,"Ponte Lungo",,41.877827,12.519109,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
AP12,AP12,"Re Di Roma",,41.881864,12.514229,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
AP13,AP13,"S. Giovanni",,41.885662,12.509652,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
AP14,AP14,"Manzoni",,41.890608,12.506673,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
AP15,AP15,"Vittorio Emanuele",,41.894561,12.504571,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
AP16,AP16,"Termini",,41.901076,12.500031,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
AP17,AP17,"Repubblica",,41.902797,12.496328,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
AP18,AP18,"Barberini",,41.903802,12.488756,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
AP19,AP19,"Spagna",,41.907926,12.482475,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
AP20,AP20,"Flaminio",,41.912799,12.476381,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
AP21,AP21,"Lepanto",,41.911478,12.466101,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
AP22,AP22,"Ottaviano",,41.909521,12.458088,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
AP23,AP23,"Cipro",,41.907586,12.447356,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
AP24,AP24,"Valle Aurelia",,41.902830,12.441192,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
AP25,AP25,"Baldo Degli Ubaldi",,41.899267,12.434465,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
AP26,AP26,"Cornelia",,41.900660,12.426452,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
AP27,AP27,"Battistini",,41.906306,12.414956,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
AD1,AD1,"Battistini",,41.906220,12.414848,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
AD2,AD2,"Cornelia",,41.900602,12.426290,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
AD3,AD3,"Baldo Degli Ubaldi",,41.899107,12.434508,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
AD4,AD4,"Valle Aurelia",,41.902711,12.441318,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
AD5,AD5,"Cipro",,41.907467,12.447394,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
AD6,AD6,"Ottaviano",,41.909352,12.458104,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
AD7,AD7,"Lepanto",,41.911325,12.466186,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
AD8,AD8,"Flaminio",,41.912611,12.476364,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
AD9,AD9,"Spagna",,41.907777,12.482235,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
AD10,AD10,"Barberini",,41.903694,12.488578,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
AD11,AD11,"Repubblica",,41.902553,12.496241,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
AD12,AD12,"Termini",,41.900965,12.499871,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
AD13,AD13,"Vittorio Emanuele",,41.894504,12.504260,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
AD14,AD14,"Manzoni",,41.890543,12.506333,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
AD15,AD15,"S. Giovanni",,41.885539,12.509440,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
AD16,AD16,"Re Di Roma",,41.881726,12.513994,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
AD17,AD17,"Ponte Lungo",,41.877664,12.518899,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
AD18,AD18,"Furio Camillo",,41.874615,12.522853,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
AD19,AD19,"Colli Albani",,41.869648,12.529369,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
AD20,AD20,"Arco Di Travertino",,41.865937,12.535897,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
AD21,AD21,"Porta Furba - Quadraro",,41.863740,12.548119,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
AD22,AD22,"Numidio Quadrato",,41.861942,12.552541,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
AD23,AD23,"Lucio Sestio",,41.859617,12.557053,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
AD24,AD24,"Giulio Agricola",,41.856514,12.562563,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
AD25,AD25,"Subaugusta",,41.853571,12.567956,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
AD26,AD26,"Cinecitta'",,41.849423,12.573801,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
AD27,AD27,"Anagnina",,41.842840,12.585758,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
