route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,exceptional
MEA,1000000086556,50817_1000000086556_67800_11,"BATTISTINI (MA)","",0,"",50817,0,0
MEA,1000000086556,50817_1000000086556_46260_16,"BATTISTINI (MA)","",0,"",50817,0,0
MEA,1000000086556,50817_1000000086556_45000_11,"BATTISTINI (MA)","",0,"",50817,0,0
MEA,1000000086556,50817_1000000086556_51120_12,"BATTISTINI (MA)","",0,"",50817,0,0
MEA,1000000086556,50818_1000000086556_60360_15,"ANAGNINA (MA)","",1,"",50818,0,0
MEA,1000000086556,50817_1000000086556_35820_19,"BATTISTINI (MA)","",0,"",50817,0,0
MEA,1000000086556,50817_1000000086556_34680_16,"BATTISTINI (MA)","",0,"",50817,0,0
MEA,1000000086556,50818_1000000086556_41280_6,"ANAGNINA (MA)","",1,"",50818,0,0
MEA,1000000086556,50818_1000000086556_36840_13,"ANAGNINA (MA)","",1,"",50818,0,0
MEA,1000000086556,50817_1000000086556_23820_18,"BATTISTINI (MA)","",0,"",50817,0,0
MEA,1000000086556,50817_1000000086556_32100_5,"BATTISTINI (MA)","",0,"",50817,0,0
MEA,1000000086556,50818_1000000086556_47640_9,"ANAGNINA (MA)","",1,"",50818,0,0
MEA,1000000086556,50817_1000000086556_55320_6,"BATTISTINI (MA)","",0,"",50817,0,0
MEA,1000000086556,50818_1000000086556_26040_16,"ANAGNINA (MA)","",1,"",50818,0,0
MEA,1000000086556,50818_1000000086556_51060_1,"ANAGNINA (MA)","",1,"",50818,0,0
MEA,1000000086556,50818_1000000086556_42240_11,"ANAGNINA (MA)","",1,"",50818,0,0
MEA,1000000086556,50817_1000000086556_57240_14,"BATTISTINI (MA)","",0,"",50817,0,0
MEA,1000000086556,50817_1000000086556_42900_2,"BATTISTINI (MA)","",0,"",50817,0,0
MEA,1000000086556,50817_1000000086556_21120_6,"BATTISTINI (MA)","",0,"",50817,0,0
MEA,1000000086556,50817_1000000086556_67080_8,"BATTISTINI (MA)","",0,"",50817,0,0
MEA,1000000086556,50818_1000000086556_24780_12,"ANAGNINA (MA)","",1,"",50818,0,0
MEA,1000000086556,50818_1000000086556_54000_12,"ANAGNINA (MA)","",1,"",50818,0,0
MEA,1000000086556,50818_1000000086556_60840_17,"ANAGNINA (MA)","",1,"",50818,0,0
MEA,1000000086556,50817_1000000086556_66840_7,"BATTISTINI (MA)","",0,"",50817,0,0
