stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,wheelchair_boarding,stop_timezone,location_type,parent_station
BD1,BD1,"Rebibbia",,41.925726,12.572617,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
BD2,BD2,"Ponte Mammolo",,41.920976,12.565083,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
BD3,BD3,"S.m. Del Soccorso",,41.916183,12.561243,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
BD4,BD4,"Pietralata",,41.914133,12.555642,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
BD5,BD5,"Monti Tiburtini",,41.916109,12.547616,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
BD6,BD6,"Quintiliani",,41.914934,12.538864,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
BD7,BD7,"Tiburtina F.s.",,41.910247,12.530286,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
BD8,BD8,"Bologna",,41.913665,12.520810,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
BD9,BD9,"Policlinico",,41.908876,12.512187,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
BD10,BD10,"Castro Pretorio",,41.906264,12.505364,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
BD11,BD11,"Termini",,41.901026,12.500052,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
BD12,BD12,"Cavour",,41.895137,12.493609,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
BD13,BD13,"Colosseo",,41.891290,12.491474,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
BD14,BD14,"Circo Massimo",,41.883486,12.487731,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
BD15,BD15,"Piramide",,41.875651,12.481967,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
