route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,exceptional
MEB,1000000086561,50820_1000000086561_32100_15,"LAURENTINA (MB)","",1,"",50820,0,0
MEB,1000000086561,50820_1000000086561_57300_9,"LAURENTINA (MB)","",1,"",50820,0,0
MEB,1000000086561,50819_1000000086561_46800_1,"REBIBBIA (MB)","",0,"",50819,0,0
MEB,1000000086561,50819_1000000086561_58200_3,"REBIBBIA (MB)","",0,"",50819,0,0
MEB,1000000086561,50819_1000000086561_64800_7,"REBIBBIA (MB)","",0,"",50819,0,0
MEB,1000000086561,50820_1000000086561_19800_11,"LAURENTINA (MB)","",1,"",50820,0,0
MEB,1000000086561,50820_1000000086561_47700_13,"LAURENTINA (MB)","",1,"",50820,0,0
MEB,1000000086561,50819_1000000086561_28800_13,"REBIBBIA (MB)","",0,"",50819,0,0
MEB,1000000086561,50820_1000000086561_68700_11,"LAURENTINA (MB)","",1,"",50820,0,0
MEB,1000000086561,50820_1000000086561_52500_11,"LAURENTINA (MB)","",1,"",50820,0,0
MEB,1000000086561,50820_1000000086561_50700_5,"LAURENTINA (MB)","",1,"",50820,0,0
MEB,1000000086561,50820_1000000086561_27900_1,"LAURENTINA (MB)","",1,"",50820,0,0
MEB,1000000086561,50819_1000000086561_78000_15,"REBIBBIA (MB)","",0,"",50819,0,0
MEB,1000000086561,50819_1000000086561_78600_17,"REBIBBIA (MB)","",0,"",50819,0,0
MEB,1000000086561,50819_1000000086561_83400_15,"REBIBBIA (MB)","",0,"",50819,0,0
MEB,1000000086561,50819_1000000086561_66000_11,"REBIBBIA (MB)","",0,"",50819,0,0
MEB,1000000086561,50819_1000000086561_24600_17,"REBIBBIA (MB)","",0,"",50819,0,0
MEB,1000000086561,50819_1000000086561_70200_7,"REBIBBIA (MB)","",0,"",50819,0,0
MEB,1000000086561,50819_1000000086561_35400_17,"REBIBBIA (MB)","",0,"",50819,0,0
MEB,1000000086561,50819_1000000086561_40200_15,"REBIBBIA (MB)","",0,"",50819,0,0
MEB,1000000086561,50820_1000000086561_30300_9,"LAURENTINA (MB)","",1,"",50820,0,0
MEB,1000000086561,50819_1000000086561_63600_3,"REBIBBIA (MB)","",0,"",50819,0,0
MEB,1000000086561,50819_1000000086561_53400_5,"REBIBBIA (MB)","",0,"",50819,0,0
MEB,1000000086561,50820_1000000086561_68100_9,"LAURENTINA (MB)","",1,"",50820,0,0
MEB,1000000086561,50819_1000000086561_28200_11,"REBIBBIA (MB)","",0,"",50819,0,0
MEB,1000000086561,50819_1000000086561_45600_15,"REBIBBIA (MB)","",0,"",50819,0,0
MEB,1000000086561,50820_1000000086561_32700_17,"LAURENTINA (MB)","",1,"",50820,0,0
