shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
56082,41.827192,12.480638,1,0
56082,41.827779,12.478284,2,206
56082,41.827886,12.474769,3,498
56082,41.828705,12.470933,4,830
56082,41.828744,12.470753,5,845
56082,41.830158,12.466007,6,1270
56082,41.830861,12.463650,7,1481
56082,41.832052,12.462317,8,1653
56082,41.833434,12.461275,9,1830
56082,41.835669,12.460371,10,2089
56082,41.836560,12.460507,11,2189
56082,41.837702,12.461254,12,2330
56082,41.839432,12.463338,13,2588
56082,41.839561,12.463532,14,2610
56082,41.840387,12.464782,15,2749
56082,41.841879,12.467914,16,3057
56082,41.844666,12.470969,17,3457
56082,41.846642,12.474203,18,3804
56082,41.847697,12.475101,19,3943
56082,41.848556,12.475465,20,4043
56082,41.848820,12.475554,21,4074
56082,41.850122,12.475996,22,4223
56082,41.852858,12.477792,23,4561
56082,41.853283,12.477869,24,4609
56082,41.855996,12.478361,25,4913
56082,41.856004,12.478363,26,4914
56082,41.858653,12.478998,27,5213
56082,41.859851,12.479643,28,5356
56082,41.866497,12.483139,29,6150
56082,41.868120,12.483993,30,6344
56082,41.869657,12.484279,31,6516
56082,41.872528,12.483573,32,6840
56082,41.874815,12.482519,33,7109
56082,41.875679,12.482065,34,7212
56082,41.876698,12.481529,35,7334
56082,41.877147,12.481711,36,7386
56082,41.879847,12.483484,37,7720
56082,41.883387,12.487875,38,8256
56082,41.884370,12.489095,39,8405
56082,41.885097,12.489388,40,8489
56082,41.888779,12.490359,41,8906
56082,41.889898,12.490885,42,9038
56082,41.890198,12.491021,43,9073
56082,41.891241,12.491537,44,9197
56082,41.892556,12.492188,45,9352
56082,41.893622,12.492743,46,9480
56082,41.895051,12.493821,47,9662
56082,41.895178,12.493917,48,9678
56082,41.896355,12.495209,49,9847
56082,41.899933,12.499053,50,10357
56082,41.900958,12.500187,51,10504
56082,41.903001,12.502447,52,10799
56082,41.904349,12.503977,53,10995
56082,41.905535,12.505094,54,11156
56082,41.906185,12.505483,55,11235
56082,41.906548,12.505700,56,11280
56082,41.907756,12.506765,57,11440
56082,41.908713,12.508361,58,11610
56082,41.908862,12.509172,59,11679
56082,41.908635,12.511583,60,11881
56082,41.908680,12.512200,61,11932
56082,41.908769,12.513410,62,12033
56082,41.909026,12.514265,63,12110
56082,41.909886,12.515495,64,12250
56082,41.911186,12.516680,65,12424
56082,41.912661,12.518281,66,12635
56082,41.913245,12.519449,67,12752
56082,41.913585,12.520822,68,12872
56082,41.913588,12.520852,69,12874
56082,41.913597,12.520957,70,12883
56082,41.913891,12.521449,71,12936
56082,41.914105,12.521770,72,12971
56082,41.914565,12.522177,73,13032
56082,41.915058,12.522321,74,13089
56082,41.915878,12.522322,75,13180
56082,41.917094,12.522145,76,13315
56082,41.917604,12.521978,77,13374
56082,41.917956,12.521783,78,13416
56082,41.918552,12.521236,79,13496
56082,41.919771,12.519947,80,13669
56082,41.920259,12.519388,81,13740
56082,41.920889,12.518529,82,13840
56082,41.921410,12.517625,83,13935
56082,41.921794,12.516875,84,14010
56082,41.922114,12.516467,85,14059
56082,41.922564,12.516239,86,14113
56082,41.923270,12.516211,87,14191
56082,41.923795,12.516294,88,14250
56082,41.924020,12.516330,89,14275
56082,41.924313,12.516334,90,14308
56082,41.925189,12.516252,91,14405
56082,41.926077,12.516054,92,14505
56082,41.927358,12.515953,93,14648
56082,41.927975,12.515959,94,14716
56082,41.928255,12.516003,95,14748
56082,41.928472,12.516046,96,14772
56082,41.928785,12.516148,97,14808
56082,41.929026,12.516289,98,14837
56082,41.929173,12.516392,99,14856
56082,41.929329,12.516528,100,14876
56082,41.929513,12.516717,101,14902
56082,41.931660,12.519274,102,15221
56082,41.931852,12.519502,103,15250
56082,41.932742,12.520475,104,15377
56082,41.933350,12.521124,105,15464
56082,41.933665,12.521519,106,15512
56082,41.933883,12.521815,107,15546
56082,41.934220,12.522429,108,15609
56082,41.934386,12.522784,109,15644
56082,41.934647,12.523434,110,15705
56082,41.934998,12.524235,111,15782
56082,41.935303,12.524817,112,15841
56082,41.935509,12.525159,113,15878
56082,41.935789,12.525414,114,15915
56082,41.936350,12.525736,115,15983
56082,41.937177,12.526084,116,16079
56082,41.937650,12.526303,117,16135
56082,41.938317,12.526757,118,16218
56082,41.938565,12.527007,119,16253
56082,41.938953,12.527445,120,16309
56082,41.938985,12.527482,121,16314
56082,41.939380,12.527808,122,16365
56082,41.941004,12.528803,123,16564
56082,41.941924,12.529286,124,16673
56082,41.942282,12.529402,125,16714
56082,41.942518,12.529484,126,16741
56082,41.942671,12.529478,127,16758
56082,41.942896,12.529481,128,16783
56082,41.943155,12.529368,129,16814
56082,41.944552,12.528371,130,16990
56082,41.944961,12.528108,131,17040
56082,41.945162,12.528036,132,17063
56082,41.947260,12.527816,133,17297
56083,41.947270,12.527815,1,0
56083,41.945162,12.528036,2,235
56083,41.944961,12.528108,3,258
56083,41.944552,12.528371,4,308
56083,41.943155,12.529368,5,484
56083,41.942896,12.529481,6,515
56083,41.942671,12.529478,7,539
56083,41.942518,12.529484,8,557
56083,41.942282,12.529402,9,584
56083,41.941924,12.529286,10,625
56083,41.941004,12.528803,11,734
56083,41.939380,12.527808,12,933
56083,41.938985,12.527482,13,984
56083,41.938943,12.527434,14,990
56083,41.938565,12.527007,15,1045
56083,41.938317,12.526757,16,1080
56083,41.937650,12.526303,17,1163
56083,41.937177,12.526084,18,1218
56083,41.936350,12.525736,19,1315
56083,41.935789,12.525414,20,1383
56083,41.935509,12.525159,21,1420
56083,41.935303,12.524817,22,1457
56083,41.934998,12.524235,23,1516
56083,41.934647,12.523434,24,1593
56083,41.934386,12.522784,25,1654
56083,41.934220,12.522429,26,1689
