stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,wheelchair_boarding,stop_timezone,location_type,parent_station
BP1,BP1,"Laurentina",,41.827234,12.480657,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
BP2,BP2,"Eur Fermi",,41.828775,12.470958,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
BP3,BP3,"Eur Palasport",,41.830195,12.466027,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
BP4,BP4,"Eur Magliana",,41.839517,12.463584,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
BP5,BP5,"Marconi",,41.848803,12.475642,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
BP6,BP6,"Basilica San Paolo",,41.855978,12.478559,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
BP7,BP7,"Garbatella",,41.866461,12.483265,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
BP8,BP8,"Piramide",,41.875713,12.482177,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
BP9,BP9,"Circo Massimo",,41.883324,12.487968,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
BP10,BP10,"Colosseo",,41.891222,12.491604,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
BP11,BP11,"Cavour",,41.894972,12.494011,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
BP12,BP12,"Termini",,41.900916,12.500259,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
BP13,BP13,"Castro Pretorio",,41.906140,12.505620,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
BP14,BP14,"Policlinico",,41.908546,12.512219,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
BP15,BP15,"Bologna",,41.913540,12.520861,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
BP23,BP23,"S.agnese/Annibaliano",,41.923787,12.516383,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
BP24,BP24,"Libia",,41.931619,12.519337,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
BP25,BP25,"Conca D'oro",,41.938916,12.527501,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
BP26,BP26,"Jonio",,41.947267,12.527944,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
BD26,BD26,"Jonio",,41.947262,12.527682,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
BD25,BD25,"Conca D'oro",,41.938985,12.527365,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
BD24,BD24,"Libia",,41.931722,12.519144,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
BD23,BD23,"S.agnese/Annibaliano",,41.923799,12.516149,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
BD8,BD8,"Bologna",,41.913665,12.520810,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
BD9,BD9,"Policlinico",,41.908876,12.512187,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
BD10,BD10,"Castro Pretorio",,41.906264,12.505364,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
BD11,BD11,"Termini",,41.901026,12.500052,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
BD12,BD12,"Cavour",,41.895137,12.493609,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
BD13,BD13,"Colosseo",,41.891290,12.491474,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
BD14,BD14,"Circo Massimo",,41.883486,12.487731,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
BD15,BD15,"Piramide",,41.875651,12.481967,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
BD16,BD16,"Garbatella",,41.866523,12.483034,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
BD17,BD17,"Basilica San Paolo",,41.855981,12.478110,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
BD18,BD18,"Marconi",,41.848836,12.475439,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
BD19,BD19,"Eur Magliana",,41.839597,12.463477,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
BD20,BD20,"Eur Palasport",,41.830075,12.465970,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
BD21,BD21,"Eur Fermi",,41.828640,12.470875,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
BD22,BD22,"Laurentina",,41.827156,12.480614,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
