route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,exceptional
MEB1,1000000086563,56082_1000000086563_46380_18,"JONIO (MB1)","",0,"",56082,0,0
MEB1,1000000086563,56082_1000000086563_67980_18,"JONIO (MB1)","",0,"",56082,0,0
MEB1,1000000086563,56083_1000000086563_65280_18,"LAURENTINA (MB)","",1,"",56083,0,0
MEB1,1000000086563,56082_1000000086563_41580_2,"JONIO (MB1)","",0,"",56082,0,0
MEB1,1000000086563,56083_1000000086563_63480_12,"LAURENTINA (MB)","",1,"",56083,0,0
MEB1,1000000086563,56083_1000000086563_52080_10,"LAURENTINA (MB)","",1,"",56083,0,0
MEB1,1000000086563,56083_1000000086563_45480_6,"LAURENTINA (MB)","",1,"",56083,0,0
MEB1,1000000086563,56083_1000000086563_28080_2,"LAURENTINA (MB)","",1,"",56083,0,0
MEB1,1000000086563,56083_1000000086563_81480_18,"LAURENTINA (MB)","",1,"",56083,0,0
MEB1,1000000086563,56083_1000000086563_46680_10,"LAURENTINA (MB)","",1,"",56083,0,0
MEB1,1000000086563,56082_1000000086563_50580_14,"JONIO (MB1)","",0,"",56082,0,0
MEB1,1000000086563,56082_1000000086563_52380_2,"JONIO (MB1)","",0,"",56082,0,0
MEB1,1000000086563,56082_1000000086563_73380_18,"JONIO (MB1)","",0,"",56082,0,0
MEB1,1000000086563,56082_1000000086563_30180_18,"JONIO (MB1)","",0,"",56082,0,0
MEB1,1000000086563,56083_1000000086563_37680_16,"LAURENTINA (MB)","",1,"",56083,0,0
MEB1,1000000086563,56082_1000000086563_54780_10,"JONIO (MB1)","",0,"",56082,0,0
MEB1,1000000086563,56082_1000000086563_83580_16,"JONIO (MB1)","",0,"",56082,0,0
MEB1,1000000086563,56083_1000000086563_83880_8,"LAURENTINA (MB)","",1,"",56083,0,0
MEB1,1000000086563,56083_1000000086563_55680_4,"LAURENTINA (MB)","",1,"",56083,0,0
MEB1,1000000086563,56083_1000000086563_33480_2,"LAURENTINA (MB)","",1,"",56083,0,0
MEB1,1000000086563,56083_1000000086563_30480_10,"LAURENTINA (MB)","",1,"",56083,0,0
MEB1,1000000086563,56082_1000000086563_69780_6,"JONIO (MB1)","",0,"",56082,0,0
MEB1,1000000086563,56083_1000000086563_61080_4,"LAURENTINA (MB)","",1,"",56083,0,0
MEB1,1000000086563,56083_1000000086563_60480_2,"LAURENTINA (MB)","",1,"",56083,0,0
MEB1,1000000086563,56083_1000000086563_23880_6,"LAURENTINA (MB)","",1,"",56083,0,0
MEB1,1000000086563,56082_1000000086563_67380_16,"JONIO (MB1)","",0,"",56082,0,0
MEB1,1000000086563,56082_1000000086563_64980_8,"JONIO (MB1)","",0,"",56082,0,0
MEB1,1000000086563,56083_1000000086563_68880_12,"LAURENTINA (MB)","",1,"",56083,0,0
MEB1,1000000086563,56082_1000000086563_74580_4,"JONIO (MB1)","",0,"",56082,0,0
MEB1,1000000086563,56083_1000000086563_69480_14,"LAURENTINA (MB)","",1,"",56083,0,0
