route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,exceptional
MEC,1000000087997,58530_1000000087997_31860_206,"P.LE APPIO (MA-MC)","",0,"",58530,0,0
MEC,1000000087997,58530_1000000087997_72840_206,"P.LE APPIO (MA-MC)","",0,"",58530,0,0
MEC,1000000087997,58531_1000000087997_37380_204,"PANTANO","",1,"",58531,0,0
MEC,1000000087997,58531_1000000087997_42480_209,"PANTANO","",1,"",58531,0,0
MEC,1000000087997,58531_1000000087997_61020_205,"PANTANO","",1,"",58531,0,0
MEC,1000000087997,58530_1000000087997_45060_205,"P.LE APPIO (MA-MC)","",0,"",58530,0,0
MEC,1000000087997,58530_1000000087997_37380_208,"P.LE APPIO (MA-MC)","",0,"",58530,0,0
MEC,1000000087997,58530_1000000087997_52920_203,"P.LE APPIO (MA-MC)","",0,"",58530,0,0
MEC,1000000087997,58531_1000000087997_70620_206,"PANTANO","",1,"",58531,0,0
MEC,1000000087997,58531_1000000087997_40920_202,"PANTANO","",1,"",58531,0,0
MEC,1000000087997,58531_1000000087997_73980_204,"PANTANO","",1,"",58531,0,0
MEC,1000000087997,58531_1000000087997_56940_206,"PANTANO","",1,"",58531,0,0
MEC,1000000087997,58531_1000000087997_56520_205,"PANTANO","",1,"",58531,0,0
MEC,1000000087997,58530_1000000087997_54120_205,"P.LE APPIO (MA-MC)","",0,"",58530,0,0
MEC,1000000087997,58531_1000000087997_73440_203,"PANTANO","",1,"",58531,0,0
MEC,1000000087997,58530_1000000087997_48360_203,"P.LE APPIO (MA-MC)","",0,"",58530,0,0
MEC,1000000087997,58530_1000000087997_39060_203,"P.LE APPIO (MA-MC)","",0,"",58530,0,0
MEC,1000000087997,58531_1000000087997_54720_202,"PANTANO","",1,"",58531,0,0
MEC,1000000087997,58531_1000000087997_27240_202,"PANTANO","",1,"",58531,0,0
MEC,1000000087997,58531_1000000087997_43200_206,"PANTANO","",1,"",58531,0,0
MEC,1000000087997,58531_1000000087997_22680_202,"PANTANO","",1,"",58531,0,0
MEC,1000000087997,58531_1000000087997_63780_202,"PANTANO","",1,"",58531,0,0
