service_id,date,exception_type
1#52,20250727,1
1#52,20250803,1
1#52,20250810,1
1#52,20250815,1
1#52,20250817,1
1#47,20250721,1
1#47,20250722,1
1#47,20250723,1
1#47,20250724,1
1#47,20250725,1
1#47,20250728,1
1#47,20250729,1
1#47,20250730,1
1#47,20250731,1
1#47,20250801,1
1#47,20250804,1
1#47,20250805,1
1#47,20250806,1
1#47,20250807,1
1#47,20250808,1
1#44,20250726,1
1#44,20250802,1
1#44,20250809,1
1#44,20250816,1
0#47-5024,20250715,1
0#47-5024,20250716,1
0#47-5024,20250717,1
0#47-5024,20250718,1
0#47-5025,20250715,1
0#47-5025,20250716,1
0#47-5025,20250717,1
0#47-5025,20250718,1
0#47-5026,20250715,1
0#47-5026,20250716,1
0#47-5026,20250717,1
0#47-5026,20250718,1
0#47-5027,20250715,1
0#47-5027,20250716,1
0#47-5027,20250717,1
0#47-5027,20250718,1
0#47-5028,20250715,1
0#47-5028,20250716,1
0#47-5028,20250717,1
0#47-5028,20250718,1
0#47-5029,20250715,1
0#47-5029,20250716,1
0#47-5029,20250717,1
0#47-5029,20250718,1
0#47-5030,20250715,1
0#47-5030,20250716,1
0#47-5030,20250717,1
0#47-5030,20250718,1
0#47-5031,20250715,1
0#47-5031,20250716,1
0#47-5031,20250717,1
0#47-5031,20250718,1
0#47-5032,20250715,1
0#47-5032,20250716,1
0#47-5032,20250717,1
0#47-5032,20250718,1
0#47-5033,20250715,1
0#47-5033,20250716,1
0#47-5033,20250717,1
0#47-5033,20250718,1
0#47-5034,20250715,1
0#47-5034,20250716,1
0#47-5034,20250717,1
0#47-5034,20250718,1
0#47-5035,20250715,1
0#47-5035,20250716,1
0#47-5035,20250717,1
0#47-5035,20250718,1
0#44-5036,20250719,1
0#44-5037,20250719,1
0#44-5038,20250719,1
0#44-5039,20250719,1
0#54-5040,20250720,1
0#54-5041,20250720,1
0#54-5042,20250720,1
1#50,20250726,1
1#51,20250721,1
1#51,20250722,1
1#51,20250723,1
1#51,20250724,1
1#51,20250725,1
1#51,20250728,1
1#51,20250729,1
1#51,20250730,1
1#51,20250731,1
1#49,20250727,1
0#52-4357,20250715,1
0#52-4357,20250716,1
0#52-4357,20250717,1
0#52-4357,20250718,1
0#52-4358,20250715,1
0#52-4358,20250716,1
0#52-4358,20250717,1
0#52-4358,20250718,1
0#52-4359,20250715,1
0#52-4359,20250716,1
0#52-4359,20250717,1
0#52-4359,20250718,1
0#52-4360,20250715,1
0#52-4360,20250716,1
0#52-4360,20250717,1
0#52-4360,20250718,1
0#52-4361,20250715,1
0#52-4361,20250716,1
0#52-4361,20250717,1
0#52-4361,20250718,1
0#52-4362,20250715,1
0#52-4362,20250716,1
0#52-4362,20250717,1
0#52-4362,20250718,1
0#52-4363,20250715,1
0#52-4363,20250716,1
0#52-4363,20250717,1
0#52-4363,20250718,1
0#52-4364,20250715,1
0#52-4364,20250716,1
0#52-4364,20250717,1
0#52-4364,20250718,1
0#52-4365,20250715,1
0#52-4365,20250716,1
0#52-4365,20250717,1
0#52-4365,20250718,1
0#51-4715,20250719,1
0#51-4716,20250719,1
0#51-4717,20250719,1
0#51-4718,20250719,1
0#51-4719,20250719,1
0#51-4720,20250719,1
0#51-4721,20250719,1
0#49-4923,20250720,1
0#49-4924,20250720,1
0#49-4925,20250720,1
0#49-4926,20250720,1
0#49-4927,20250720,1
1#12,20250726,1
1#12,20250802,1
1#12,20250804,1
1#12,20250805,1
1#12,20250806,1
1#12,20250807,1
1#12,20250808,1
1#12,20250809,1
1#12,20250811,1
1#12,20250812,1
1#12,20250813,1
1#12,20250814,1
1#12,20250816,1
1#12,20250818,1
1#12,20250819,1
1#12,20250820,1
1#20,20250721,1
1#20,20250722,1
1#20,20250723,1
1#20,20250724,1
1#20,20250725,1
1#20,20250728,1
1#20,20250729,1
1#20,20250730,1
1#20,20250731,1
1#20,20250801,1
1#1,20250727,1
1#1,20250803,1
1#1,20250810,1
1#1,20250815,1
1#1,20250817,1
0#20-5184,20250715,1
0#20-5184,20250716,1
0#20-5184,20250717,1
0#20-5185,20250715,1
0#20-5185,20250716,1
0#20-5185,20250717,1
0#20-5186,20250715,1
0#20-5186,20250716,1
0#20-5186,20250717,1
0#20-5187,20250715,1
