route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
19NAV,OP1,19NAV,,3,https://muoversiaroma.it/it/linea?numero=19NAV,,
2BUS,OP1,2BUS,,3,https://muoversiaroma.it/it/linea?numero=2BUS,,
53,OP1,53,,3,https://muoversiaroma.it/it/linea?numero=53,,
60,OP1,60,,3,https://muoversiaroma.it/it/linea?numero=60,,
80,OP1,80,,3,https://muoversiaroma.it/it/linea?numero=80,,
90,OP1,90,,3,https://muoversiaroma.it/it/linea?numero=90,,
MEA,OP1,MEA,,1,https://muoversiaroma.it/it/linea?numero=MEA,E27439,
MEB,OP1,MEB,,1,https://muoversiaroma.it/it/linea?numero=MEB,0570B5,
MEB1,OP1,MEB1,,1,https://muoversiaroma.it/it/linea?numero=MEB1,0570B5,
MEC,OP1,MEC,,1,https://muoversiaroma.it/it/linea?numero=MEC,008456,
