route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,exceptional
19NAV,1#52,1#1113-2,"VALLE GIULIA","23448510",1,"",64605,0,0
19NAV,1#52,1#1113-3,"GIULIO CESARE/OTTAVIANO (MA)","23448514",0,"",64773,0,0
19NAV,1#52,1#1113-4,"VALLE GIULIA","23448511",1,"",64605,0,0
19NAV,1#52,1#1113-5,"GIULIO CESARE/OTTAVIANO (MA)","23448515",0,"",64773,0,0
19NAV,1#52,1#1113-6,"VALLE GIULIA","23448512",1,"",64605,0,0
19NAV,1#52,1#1113-7,"GIULIO CESARE/OTTAVIANO (MA)","23448499",0,"",64773,0,0
19NAV,1#52,1#1113-8,"VALLE GIULIA","23448513",1,"",64605,0,0
19NAV,1#52,1#1113-9,"GIULIO CESARE/OTTAVIANO (MA)","23448500",0,"",64773,0,0
19NAV,1#52,1#1113-10,"VALLE GIULIA","23448503",1,"",64605,0,0
19NAV,1#52,1#1113-11,"GIULIO CESARE/OTTAVIANO (MA)","23448501",0,"",64773,0,0
19NAV,1#52,1#1113-12,"VALLE GIULIA","23448504",1,"",64605,0,0
19NAV,1#52,1#1113-13,"GIULIO CESARE/OTTAVIANO (MA)","23448502",0,"",64773,0,0
19NAV,1#52,1#1113-14,"VALLE GIULIA","23448505",1,"",64605,0,0
19NAV,1#52,1#1113-15,"GIULIO CESARE/OTTAVIANO (MA)","23448520",0,"",64773,0,0
19NAV,1#52,1#1113-16,"VALLE GIULIA","23448506",1,"",64605,0,0
19NAV,1#52,1#1113-17,"GIULIO CESARE/OTTAVIANO (MA)","23448521",0,"",64773,0,0
19NAV,1#52,1#1113-18,"VALLE GIULIA","23448507",1,"",64605,0,0
19NAV,1#52,1#1113-19,"GIULIO CESARE/OTTAVIANO (MA)","23448522",0,"",64773,0,0
19NAV,1#52,1#1113-20,"VALLE GIULIA","23448508",1,"",64605,0,0
19NAV,1#52,1#1113-21,"GIULIO CESARE/OTTAVIANO (MA)","23448527",0,"",64773,0,0
19NAV,1#52,1#1113-22,"VALLE GIULIA","23448523",1,"",64605,0,0
19NAV,1#52,1#1113-23,"GIULIO CESARE/OTTAVIANO (MA)","23448528",0,"",64773,0,0
19NAV,1#52,1#1113-24,"VALLE GIULIA","23448524",1,"",64605,0,0
19NAV,1#52,1#1113-25,"GIULIO CESARE/OTTAVIANO (MA)","23448529",0,"",64773,0,0
19NAV,1#52,1#1113-26,"VALLE GIULIA","23448525",1,"",64605,0,0
19NAV,1#52,1#1113-27,"GIULIO CESARE/OTTAVIANO (MA)","23448530",0,"",64773,0,0
19NAV,1#52,1#1113-28,"VALLE GIULIA","23448526",1,"",64605,0,0
19NAV,1#52,1#1113-29,"GIULIO CESARE/OTTAVIANO (MA)","23448531",0,"",64773,0,0
19NAV,1#52,1#1113-30,"VALLE GIULIA","23448532",1,"",64605,0,0
19NAV,1#52,1#1113-31,"GIULIO CESARE/OTTAVIANO (MA)","23448486",0,"",64773,0,0
19NAV,1#52,1#1113-32,"VALLE GIULIA","23448533",1,"",64605,0,0
19NAV,1#52,1#1113-33,"GIULIO CESARE/OTTAVIANO (MA)","23448487",0,"",64773,0,0
19NAV,1#52,1#1113-34,"VALLE GIULIA","23448534",1,"",64605,0,0
19NAV,1#52,1#1113-35,"GIULIO CESARE/OTTAVIANO (MA)","23448488",0,"",64773,0,0
19NAV,1#52,1#1113-36,"VALLE GIULIA","23448535",1,"",64605,0,0
19NAV,1#52,1#1113-37,"GIULIO CESARE/OTTAVIANO (MA)","23448489",0,"",64773,0,0
19NAV,1#52,1#1113-38,"VALLE GIULIA","23448536",1,"",64605,0,0
19NAV,1#52,1#1113-39,"GIULIO CESARE/OTTAVIANO (MA)","23448490",0,"",64773,0,0
19NAV,1#52,1#1113-40,"VALLE GIULIA","23448537",1,"",64605,0,0
19NAV,1#52,1#1113-41,"GIULIO CESARE/OTTAVIANO (MA)","23448491",0,"",64773,0,0
19NAV,1#52,1#1113-42,"VALLE GIULIA","23448538",1,"",64605,0,0
19NAV,1#52,1#1113-43,"GIULIO CESARE/OTTAVIANO (MA)","23448492",0,"",64773,0,0
19NAV,1#52,1#1113-44,"VALLE GIULIA","23448539",1,"",64605,0,0
19NAV,1#52,1#1113-45,"GIULIO CESARE/OTTAVIANO (MA)","23448493",0,"",64773,0,0
19NAV,1#52,1#1113-46,"VALLE GIULIA","23448540",1,"",64605,0,0
19NAV,1#52,1#1113-47,"GIULIO CESARE/OTTAVIANO (MA)","23448494",0,"",64773,0,0
19NAV,1#52,1#1113-48,"VALLE GIULIA","23448541",1,"",64605,0,0
19NAV,1#52,1#1113-49,"GIULIO CESARE/OTTAVIANO (MA)","23448495",0,"",64773,0,0
19NAV,1#52,1#1113-50,"VALLE GIULIA","23448516",1,"",64605,0,0
19NAV,1#52,1#1113-51,"GIULIO CESARE/OTTAVIANO (MA)","23448496",0,"",64773,0,0
19NAV,1#52,1#1113-52,"VALLE GIULIA","23448517",1,"",64605,0,0
19NAV,1#52,1#1113-53,"GIULIO CESARE/OTTAVIANO (MA)","23448497",0,"",64773,0,0
19NAV,1#52,1#1113-54,"VALLE GIULIA","23448518",1,"",64605,0,0
19NAV,1#52,1#1113-55,"GIULIO CESARE/OTTAVIANO (MA)","23448498",0,"",64773,0,0
19NAV,1#52,1#1113-56,"VALLE GIULIA","23448519",1,"",64605,0,0
19NAV,1#52,1#1113-57,"GIULIO CESARE/OTTAVIANO (MA)","23448509",0,"",64773,0,0
19NAV,1#47,1#1114-2,"VALLE GIULIA","24698225",1,"",64605,0,0
19NAV,1#47,1#1114-3,"GIULIO CESARE/OTTAVIANO (MA)","24698208",0,"",64773,0,0
19NAV,1#47,1#1114-4,"VALLE GIULIA","24698226",1,"",64605,0,0
19NAV,1#47,1#1114-5,"GIULIO CESARE/OTTAVIANO (MA)","24698209",0,"",64773,0,0
19NAV,1#47,1#1114-6,"VALLE GIULIA","24698216",1,"",64605,0,0
19NAV,1#47,1#1114-7,"GIULIO CESARE/OTTAVIANO (MA)","24698233",0,"",64773,0,0
19NAV,1#47,1#1114-8,"VALLE GIULIA","24698227",1,"",64605,0,0
19NAV,1#47,1#1114-9,"GIULIO CESARE/OTTAVIANO (MA)","24698203",0,"",64773,0,0
19NAV,1#47,1#1114-10,"VALLE GIULIA","24698228",1,"",64605,0,0
19NAV,1#47,1#1114-11,"GIULIO CESARE/OTTAVIANO (MA)","24698221",0,"",64773,0,0
19NAV,1#47,1#1114-12,"VALLE GIULIA","24698223",1,"",64605,0,0
19NAV,1#47,1#1114-13,"GIULIO CESARE/OTTAVIANO (MA)","24698222",0,"",64773,0,0
19NAV,1#47,1#1114-14,"VALLE GIULIA","24698213",1,"",64605,0,0
19NAV,1#47,1#1114-15,"GIULIO CESARE/OTTAVIANO (MA)","24698229",0,"",64773,0,0
19NAV,1#47,1#1114-16,"VALLE GIULIA","24698232",1,"",64605,0,0
19NAV,1#47,1#1114-17,"GIULIO CESARE/OTTAVIANO (MA)","24698214",0,"",64773,0,0
19NAV,1#47,1#1114-18,"VALLE GIULIA","24698236",1,"",64605,0,0
19NAV,1#47,1#1114-19,"GIULIO CESARE/OTTAVIANO (MA)","24698231",0,"",64773,0,0
19NAV,1#47,1#1114-20,"VALLE GIULIA","24698199",1,"",64605,0,0
19NAV,1#47,1#1114-21,"GIULIO CESARE/OTTAVIANO (MA)","24698215",0,"",64773,0,0
19NAV,1#47,1#1114-22,"VALLE GIULIA","24698234",1,"",64605,0,0
19NAV,1#47,1#1114-23,"GIULIO CESARE/OTTAVIANO (MA)","24698230",0,"",64773,0,0
19NAV,1#47,1#1114-24,"VALLE GIULIA","24698224",1,"",64605,0,0
