stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,wheelchair_boarding,stop_timezone,location_type,parent_station
10227,10227,"GIULIO CESARE/OTTAVIANO (MA)",,41.909655,12.459408,,,,,
72930,72930,"DALLA CHIESA",,41.911347,12.461322,,,,,
72079,72079,"LEPANTO (MA)",,41.912767,12.464845,,,,,
72080,72080,"P.ZA CINQUE GIORNATE",,41.913855,12.469220,,,,,
80618,80618,"MINISTERO MARINA",,41.915833,12.474295,,,,,
71247,71247,"BELLE ARTI",,41.918900,12.474182,,,,,
76812,76812,"MUSEO ETRUSCO VILLA GIULIA",,41.918653,12.476853,,,,,
71842,71842,"VALLE GIULIA",,41.916950,12.480542,,,,,
71379,71379,"MUSEO ETRUSCO VILLA GIULIA",,41.918768,12.476913,,,,,
78065,78065,"FLAMINIA/BELLE ARTI",,41.919580,12.472575,,,,,
78459,78459,"BELLE ARTI",,41.918343,12.473063,,,,,
80629,80629,"MINISTERO MARINA",,41.915448,12.474272,,,,,
70522,70522,"AZUNI/MIN. MARINA",,41.914702,12.472277,,,,,
72178,72178,"P.ZA CINQUE GIORNATE",,41.913710,12.467918,,,,,
72179,72179,"LEPANTO (MA)",,41.913043,12.465538,,,,,
72180,72180,"MILIZIE/DISTRETTO MILITARE",,41.911993,12.461245,,,,,
72181,72181,"MILIZIE/ANGELICO",,41.911345,12.458535,,,,,
82350,82350,"OTTAVIANO (MA) - TEMPORANEAMENTE SOPPRESSA",,41.909695,12.457975,,,,,
30642,30642,"MANCINI",,41.930693,12.464337,,,,,
70015,70015,"LGT THAON DI REVEL/ROMANO",,41.933332,12.465273,,,,,
72379,72379,"LGT THAON DI REVEL/P. MILVIO",,41.934268,12.466913,,,,,
70017,70017,"FLAMINIA/CALDERINI",,41.931270,12.467823,,,,,
70018,70018,"FLAMINIA/CARRACCI",,41.929507,12.468508,,,,,
70019,70019,"FLAMINIA/RENI",,41.927795,12.469225,,,,,
70020,70020,"FLAMINIA/VIGNOLA",,41.924993,12.470365,,,,,
70021,70021,"FLAMINIA/FRACASSINI",,41.922922,12.471217,,,,,
30535,30535,"FLAMINIA/BELLE ARTI",,41.921033,12.471950,,,,,
81151,81151,"P.LE FLAMINIO (MA)",,41.911838,12.475738,,,,,
81152,81152,"P.LE FLAMINIO (MA)",,41.911860,12.475263,,,,,
80619,80619,"FLAMINIA/BELLE ARTI",,41.920813,12.472252,,,,,
70045,70045,"ANKARA",,41.924240,12.471765,,,,,
